CUI,freq
C0023465,21
C0023467,21
C0486293,11
C1318293,10
C0247025,4
C0742343,38
C4318612,38
C1277691,22
C0201976,45
C0600061,49
C0722138,2
C0392747,257
C0678234,16
C1261287,17
C2632116,16
C1516048,18
C0035173,15
C0030547,4
C4522267,4
C0018387,3
C0439242,1
C0444706,10
C3541902,10
C4534363,5
C0205554,2
C0025080,6
C0699733,6
C0287275,1
C0027361,40
C0237401,16
C0650607,8
C0243071,6
C0205112,9
C2825028,2
C0445074,2
C0232117,9
C2347155,2
C0391850,6
C1947910,6
C0949236,6
C4086268,72
C0678226,25
C0073633,10
C0205088,22
C3272266,8
C0687676,47
C1704687,47
C3469826,47
C1546485,13
C3853528,13
C1516879,52
C1696073,52
C3888021,52
C0033860,34
C0587081,4
C0439282,20
C0424594,2
C3161035,16
C3274659,15
C3714583,15
C3853906,15
C0015252,3
C0728940,2
C0884358,9
C1456408,17
C0023668,70
C1704970,20
C1060325,6
C1334085,10
C1708411,10
C3811629,6
C0443172,219
C4319952,213
C0030800,3
C2347712,3
C0027651,3
C1882062,2
C0042449,7
C0181074,8
C0332835,8
C1961139,8
C0348013,5
C0439254,2
C0332132,5
C4284025,2
C0020616,19
C3538806,23
C4048756,20
C0439745,1
C0205147,49
C4319846,1
C2917241,2
C0003018,11
C4521302,11
C3653375,2
C0001927,24
C0041912,3
C1828181,8
C3173302,8
C1120110,9
C4331910,9
C0857690,2
C0028971,15
C0347978,1
C3714918,1
C0001783,2
C0005515,16
C0005522,2
C4553887,2
C0051696,26
C0205081,93
C1881878,93
C4049705,90
C4049706,90
C4085643,94
C4321335,90
C0547044,5
C0030196,1
C4553007,1
C0701159,20
C0004096,38
C2984299,38
C0205161,4
C0002978,30
C1548816,3
C3891555,3
C4255126,3
C2347472,4
C2699333,4
C0205449,10
C0205172,36
C1511726,49
C3245479,49
C3714741,49
C1275491,22
C1710602,42
C0439070,43
C1705160,43
C4082587,42
C0043129,18
C0059386,2
C1309881,2
C1423585,2
C3815268,2
C2825027,1
C4553708,1
C1512018,1
C0040616,2
C0022116,28
C4321499,28
C0274281,18
C0332157,32
C0209368,5
C1282512,9
C0439185,22
C4049980,2
C0488055,54
C0871470,78
C1306620,54
C0205210,46
C1532737,9
C1881332,13
C0039411,22
C0040642,22
C0041405,23
C0041698,22
C1824670,22
C3272447,22
C4522122,22
C0007673,6
C3540513,6
C3813556,6
C3888140,6
C0881827,1
C0034606,1
C0441633,1
C2826292,1
C0596217,1
C1417249,5
C2347167,5
C3254418,5
C4050513,5
C0347985,6
C0232970,18
C0205258,6
C0242231,3
C0741968,9
C0007282,4
C0226415,1
C0020443,21
C1522133,20
C0024115,3
C1142985,25
C0444686,23
C1441506,23
C1516986,2
C1412134,37
C1515941,37
C0871208,116
C1521828,115
C0033727,98
C1418888,8
C0369286,97
C0441932,97
C0564385,108
C4528284,97
C1167956,3
C1882086,7
C0022326,41
C4265176,41
C1455761,16
C2945760,16
C0229671,33
C0065827,3
C1706141,3
C3887659,3
C1546774,33
C1550100,33
C0020615,15
C4553659,15
C0012798,35
C0021764,15
C1527200,3
C1156212,5
C1537574,5
C0242896,11
C1282927,10
C1806781,10
C2350002,10
C0028405,15
C0470187,17
C0178913,2
C0025266,63
C1709380,153
C3494593,1
C0518010,12
C0683448,22
